Date,Open,High,Low,Close,Adj Close,Volume
2018-09-06,72.440002,72.440002,72.440002,72.440002,66.878967,0
2018-09-07,72.290001,72.290001,72.290001,72.290001,66.740463,0
2018-09-10,72.459999,72.459999,72.459999,72.459999,66.897423,0
2018-09-11,72.699997,72.699997,72.699997,72.699997,67.119003,0
2018-09-12,72.720001,72.720001,72.720001,72.720001,67.137466,0
2018-09-13,73.070000,73.070000,73.070000,73.070000,67.460587,0
2018-09-14,73.150002,73.150002,73.150002,73.150002,67.534454,0
2018-09-17,72.669998,72.669998,72.669998,72.669998,67.091309,0
2018-09-18,73.059998,73.059998,73.059998,73.059998,67.451355,0
2018-09-19,73.070000,73.070000,73.070000,73.070000,67.460587,0
2018-09-20,73.650002,73.650002,73.650002,73.650002,67.996071,0
2018-09-21,73.589996,73.589996,73.589996,73.589996,67.940659,0
2018-09-24,73.320000,73.320000,73.320000,73.320000,67.691399,0
2018-09-25,73.269997,73.269997,73.269997,73.269997,67.645241,0
2018-09-26,72.970001,72.970001,72.970001,72.970001,67.368279,0
2018-09-27,72.809998,72.809998,72.809998,72.809998,67.542671,0
2018-09-28,72.839996,72.839996,72.839996,72.839996,67.570496,0
2018-10-01,72.949997,72.949997,72.949997,72.949997,67.672546,0
2018-10-02,72.830002,72.830002,72.830002,72.830002,67.561234,0
2018-10-03,72.949997,72.949997,72.949997,72.949997,67.672546,0
2018-10-04,72.300003,72.300003,72.300003,72.300003,67.069557,0
2018-10-05,71.870003,71.870003,71.870003,71.870003,66.670670,0
2018-10-08,71.790001,71.790001,71.790001,71.790001,66.596458,0
2018-10-09,71.660004,71.660004,71.660004,71.660004,66.475868,0
2018-10-10,69.339996,69.339996,69.339996,69.339996,64.323708,0
2018-10-11,67.949997,67.949997,67.949997,67.949997,63.034271,0
2018-10-12,68.830002,68.830002,68.830002,68.830002,63.850597,0
2018-10-15,68.519997,68.519997,68.519997,68.519997,63.563030,0
2018-10-16,70.050003,70.050003,70.050003,70.050003,64.982338,0
2018-10-17,69.989998,69.989998,69.989998,69.989998,64.926674,0
2018-10-18,68.959999,68.959999,68.959999,68.959999,63.971199,0
2018-10-19,68.820000,68.820000,68.820000,68.820000,63.841331,0
2018-10-22,68.540001,68.540001,68.540001,68.540001,63.581566,0
2018-10-23,68.139999,68.139999,68.139999,68.139999,63.210518,0
2018-10-24,65.989998,65.989998,65.989998,65.989998,61.216038,0
2018-10-25,67.220001,67.220001,67.220001,67.220001,62.357075,0
2018-10-26,66.110001,66.110001,66.110001,66.110001,61.327362,0
2018-10-29,65.680000,65.680000,65.680000,65.680000,60.928471,0
2018-10-30,66.739998,66.739998,66.739998,66.739998,61.911804,0
2018-10-31,67.449997,67.449997,67.449997,67.449997,62.570435,0
2018-11-01,68.290001,68.290001,68.290001,68.290001,63.349674,0
2018-11-02,67.930000,67.930000,67.930000,67.930000,63.015709,0
2018-11-05,68.239998,68.239998,68.239998,68.239998,63.303276,0
2018-11-06,68.660004,68.660004,68.660004,68.660004,63.692902,0
2018-11-07,70.059998,70.059998,70.059998,70.059998,64.991585,0
2018-11-08,69.889999,69.889999,69.889999,69.889999,64.833900,0
2018-11-09,69.199997,69.199997,69.199997,69.199997,64.193832,0
2018-11-12,67.849998,67.849998,67.849998,67.849998,62.941490,0
2018-11-13,67.760002,67.760002,67.760002,67.760002,62.858006,0
2018-11-14,67.260002,67.260002,67.260002,67.260002,62.394184,0
2018-11-15,68.019997,68.019997,68.019997,68.019997,63.099178,0
2018-11-16,68.169998,68.169998,68.169998,68.169998,63.238346,0
2018-11-19,66.989998,66.989998,66.989998,66.989998,62.143703,0
2018-11-20,65.809998,65.809998,65.809998,65.809998,61.049068,0
2018-11-21,66.120003,66.120003,66.120003,66.120003,61.336655,0
2018-11-23,65.760002,65.760002,65.760002,65.760002,61.002701,0
2018-11-26,66.779999,66.779999,66.779999,66.779999,61.948906,0
2018-11-27,66.870003,66.870003,66.870003,66.870003,62.032394,0
2018-11-28,68.419998,68.419998,68.419998,68.419998,63.470249,0
2018-11-29,68.290001,68.290001,68.290001,68.290001,63.349674,0
2018-11-30,68.849998,68.849998,68.849998,68.849998,63.869144,0
2018-12-03,69.599998,69.599998,69.599998,69.599998,64.564896,0
2018-12-04,67.290001,67.290001,67.290001,67.290001,62.422001,0
2018-12-06,67.230003,67.230003,67.230003,67.230003,62.366356,0
2018-12-07,65.690002,65.690002,65.690002,65.690002,60.937756,0
2018-12-10,65.750000,65.750000,65.750000,65.750000,60.993420,0
2018-12-11,65.709999,65.709999,65.709999,65.709999,60.956314,0
2018-12-12,66.099998,66.099998,66.099998,66.099998,61.318096,0
2018-12-13,65.959999,65.959999,65.959999,65.959999,61.188217,0
